datetime,timestamp,user,src,out,time
2023-04-27 00:12:43,1682554363,AV***-27HA,2022年里约热内卢锦标赛竞争组亲笔签名胶囊,印花 | TRY | 2022年里约热内卢锦标赛,1682554363
2023-04-27 00:12:44,1682554364,SC***-4DHA,“头号特训”武器箱,新星 | 灼木,1682554364
2023-04-27 00:12:46,1682554366,S5***-UMFN,左轮武器箱,SCAR-20 | 丛林爆发,1682554366
2023-04-27 00:12:46,1682554366,SA***-JNXC,Anubis Collection Package,R8 左轮手枪 | Inlay,1682554366
2023-04-27 00:12:46,1682554366,S6***-FCZA,反冲武器箱,加利尔 AR（StatTrak™） | 毁灭者,1682554366
2023-04-27 00:12:46,1682554366,AK***-4APL,Anubis Collection Package,XM1014 | Hieroglyph,1682554366
2023-04-27 00:12:47,1682554367,AV***-27HA,2022年里约热内卢锦标赛竞争组亲笔签名胶囊,印花 | KRIMZ（全息）| 2022年里约热内卢锦标赛,1682554367
2023-04-27 00:12:48,1682554368,SS***-F4VN,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | Outsiders（闪耀）| 2022年里约热内卢锦标赛,1682554368
2023-04-27 00:12:49,1682554369,SJ***-A5WA,Anubis Collection Package,AUG | Snake Pit,1682554369
2023-04-27 00:12:49,1682554369,AZ***-J5WG,Anubis Collection Package,AUG | Snake Pit,1682554369
2023-04-27 00:12:50,1682554370,AG***-LRDQ,梦魇武器箱,M4A1 消音型 | 夜无眠,1682554370
2023-04-27 00:12:50,1682554370,AR***-L3UL,Anubis Collection Package,AUG | Snake Pit,1682554370
2023-04-27 00:12:51,1682554371,AV***-27HA,2022年里约热内卢锦标赛竞争组亲笔签名胶囊,印花 | Sico | 2022年里约热内卢锦标赛,1682554371
2023-04-27 00:12:52,1682554372,SA***-UYEG,Anubis Collection Package,XM1014 | Hieroglyph,1682554372
2023-04-27 00:12:52,1682554372,ST***-QRRE,Anubis Collection Package,AUG | Snake Pit,1682554372
2023-04-27 00:12:53,1682554373,AR***-L3UL,Anubis Collection Package,MAC-10 | Echoing Sands,1682554373
2023-04-27 00:12:53,1682554373,SS***-F4VN,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | Outsiders | 2022年里约热内卢锦标赛,1682554373
2023-04-27 00:12:54,1682554374,AZ***-HLTJ,Anubis Collection Package,M249 | Submerged,1682554374
2023-04-27 00:12:54,1682554374,AT***-B5EJ,裂空武器箱,内格夫 | 飞羽,1682554374
2023-04-27 00:12:55,1682554375,AV***-27HA,2022年里约热内卢锦标赛竞争组亲笔签名胶囊,印花 | TACO | 2022年里约热内卢锦标赛,1682554375
2023-04-27 00:12:55,1682554375,AR***-L3UL,Anubis Collection Package,M4A1 消音型 | Mud-Spec,1682554375
2023-04-27 00:12:56,1682554376,AK***-4APL,Anubis Collection Package,MP7 | Sunbaked,1682554376
